Close,Volume,Open,High,Low
154.07,57305730,155.49,156.11,153.95
155.11,74420210,156.98,157.04,153.975
156.69,82278260,154.97,157.26,154.39
154.3,57866070,153.76,154.63,153.09
153.65,71171320,153.87,154.72,152.4
152.51,80313710,152.83,154.98,152.34
151.83,86453120,152.66,152.8,151.29
153.12,90956720,149,153.49,148.61
148.6,55802390,147.48,148.75,146.83
147.54,48597200,148.35,149.12,147.51
148.36,58991300,149.81,150.32,147.8
149.62,48606430,149.45,150.86,149.15
149.71,60131810,148.31,150.19,147.89
148.19,60549630,147.44,148.5,146.78
146.7,86960310,145.03,148,144.5
146.36,86325990,149.8,150.72,146.15
150.19,92229740,150.23,151.68,149.09
151.12,103558800,148.535,151.19,146.47
149.1,59375010,148.97,149.4444,148.27
148.89,73779110,146.19,149.05,145.84
145.86,48493460,146.05,146.72,145.53
145.6,69023080,146.44,147.71,145.3
